M49code_continent,Continet,M49code_Subregions,Subregions
2,Africa,15,Northern Africa
2,Africa,202,Sub-Saharan Africa
2,Africa,11,Western Africa
2,Africa,14,Eastern Africa
2,Africa,17,Middle Africa
2,Africa,18,Southern Africa
10,Americas,3,North America
10,Americas,21,Northern America
10,Americas,419,Latin America and the Caribbean
10,Americas,5,South America
10,Americas,13,Central America
10,Americas,29,Caribbean
142,Asia,30,Eastern Asia
142,Asia,34,Southern Asia
142,Asia,35,South-eastern Asia
142,Asia,143,Central Asia
142,Asia,145,Western Asia
150,Europe,39,Southern Europe
150,Europe,151,Eastern Europe (including Northern Asia)
150,Europe,154,Northern Europe
150,Europe,830,Channel Islands
150,Europe,155,Western Europe
9,Oceania,53,Australia and New Zealand
9,Oceania,54,Melanesia
9,Oceania,57,Micronesia
9,Oceania,61,Polynesia